datetime,total_tests,Tested_negative,Cases_Positive,Unknown source,Active Cases,Recovered,Deaths,Diamond Princess,New Cases,Artania Total,Artania Deaths
29-Feb-20,,,2,,,,,,2,,
1-Mar-20,,,2,,,,,,0,,
2-Mar-20,,,2,,,,,,0,,
3-Mar-20,,,2,,,,,,0,,
4-Mar-20,,,2,,,,,,0,,
5-Mar-20,839,836,3,0,,,1,2,1,,
6-Mar-20,1113,1110,3,0,,,1,2,0,,
7-Mar-20,1457,1454,3,0,,,1,2,0,,
8-Mar-20,1669,1665,4,0,,,1,2,1,,
9-Mar-20,1802,1796,6,0,4,1,1,2,2,,
10-Mar-20,1880,1874,6,0,4,1,1,2,0,,
11-Mar-20,2023,2014,9,0,7,1,1,2,3,,
12-Mar-20,2197,2188,9,0,7,1,1,2,0,,
13-Mar-20,3802,3788,14,0,12,1,1,2,5,,
14-Mar-20,4823,4806,17,0,15,1,1,2,3,,
15-Mar-20,5442,5424,18,0,16,1,1,2,1,,
16-Mar-20,5906,5878,28,0,26,1,1,2,10,,
17-Mar-20,6613,6582,31,0,29,1,1,2,3,,
18-Mar-20,7074,7039,35,0,33,1,1,2,4,,
19-Mar-20,8008,7956,52,0,50,1,1,2,17,,
20-Mar-20,8603,8539,64,0,62,1,1,2,12,,
21-Mar-20,9220,9130,90,0,88,1,1,2,26,,
22-Mar-20,9618,9498,120,0,118,1,1,,30,,
23-Mar-20,10088,9948,140,2,133,6,1,,20,,
24-Mar-20,10528,10353,175,2,168,6,1,,35,,
25-Mar-20,10988,10783,205,2,198,6,1,,30,,
26-Mar-20,11519,11288,231,3,206,23,2,,26,,
27-Mar-20,12091,11836,255,4,225,28,2,,24,,
28-Mar-20,12971,12693,278,4,248,28,2,,23,9,
29-Mar-20,13648,13337,311,5,281,28,2,,33,12,
30-Mar-20,14188,13833,355,8,312,41,2,,44,39,
31-Mar-20,14704,14340,364,8,305,48,2,,9,39,
1-Apr-20,15522,15130,392,8,326,64,2,,28,39,0
2-Apr-20,16190,15790,400,9,306,92,2,,8,39,0
3-Apr-20,16444,16022,422,9,327,92,3,,22,48,1
4-Apr-20,17251,16815,436,6,341,92,3,,14,53,1
5-Apr-20,18197,17744,453,6,302,148,3,,17,53,1
6-Apr-20,18726,18266,460,10,294,162,4,,7,54,1
7-Apr-20,19201,18731,470,12,294,170,6,,10,54,2
8-Apr-20,20096,19615,481,12,305,170,6,,11,57,2
9-Apr-20,20712,20217,495,13,302,187,6,,14,61,2
10-Apr-20,21144,20638,506,13,297,203,6,,11,65,2
11-Apr-20,22105,21591,514,13,292,216,6,,8,68,2
12-Apr-20,23118,22601,517,13,272,239,6,,3,68,2
13-Apr-20,23935,23412,523,13,266,251,6,,6,72,2
14-Apr-20,24397,23870,527,14,225,296,6,,4,75,3
15-Apr-20,24613,24081,532,14,188,338,6,,5,76,2
16-Apr-20,25623,25088,535,14,189,340,6,,3,77,2
17-Apr-20,26225,25684,541,14,157,377,7,,3,79,3
18-Apr-20,27175,26631,544,14,149,388,7,,3,81,3
19-Apr-20,28888,28343,545,14,112,426,7,,1,81,3
20-Apr-20,29469,28924,545,15,103,435,7,,0,81,3
21-Apr-20,30112,29566,546,15,96,443,7,,1,81,3
22-Apr-20,31140,30594,546,15,88,451,7,,0,81,3
23-Apr-20,32150,31604,546,16,81,458,7,,0,81,3
24-Apr-20,33138,32590,548,16,76,464,8,,2,81,3
25-Apr-20,34199,33650,549,16,63,478,8,,1,81,4
