Date,Western Australia,Northern Territory,Queensland,New South Wales,Australian Capital Territory,Victoria,Tasmania,South Australia
26/01/2020,0,0,0,3,0,1,0,0
27/01/2020,0,0,0,4,0,1,0,0
28/01/2020,0,0,0,4,0,1,0,0
29/01/2020,0,0,1,4,0,1,0,0
30/01/2020,0,0,3,4,0,2,0,0
31/01/2020,0,0,2,4,0,3,0,0
1/02/2020,0,0,3,4,0,4,0,1
2/02/2020,0,0,2,4,0,4,0,2
3/02/2020,0,0,2,4,0,4,0,2
4/02/2020,0,0,3,4,0,4,0,2
5/02/2020,0,0,3,4,0,4,0,2
6/02/2020,0,0,4,4,0,4,0,2
7/02/2020,0,0,5,4,0,4,0,2
8/02/2020,0,0,5,4,0,4,0,2
9/02/2020,0,0,5,4,0,4,0,2
10/02/2020,0,0,5,4,0,4,0,2
11/02/2020,0,0,5,4,0,4,0,2
12/02/2020,0,0,5,4,0,4,0,2
13/02/2020,0,0,5,4,0,4,0,2
14/02/2020,0,0,5,4,0,4,0,2
15/02/2020,0,0,5,4,0,4,0,2
16/02/2020,0,0,5,4,0,4,0,2
17/02/2020,0,0,5,4,0,4,0,2
18/02/2020,0,0,5,4,0,4,0,2
19/02/2020,0,0,5,4,0,4,0,2
20/02/2020,0,0,5,4,0,4,0,2
21/02/2020,0,0,5,4,0,4,0,2
22/02/2020,0,0,5,4,0,4,0,2
23/02/2020,0,0,5,4,0,4,0,2
24/02/2020,0,0,5,4,0,4,0,2
25/02/2020,0,0,5,4,0,4,0,2
26/02/2020,0,0,5,4,0,4,0,2
27/02/2020,0,0,5,4,0,4,0,2
28/02/2020,0,0,5,4,0,4,0,2
29/02/2020,2,0,9,4,0,7,0,3
1/03/2020,2,0,9,6,0,7,0,3
2/03/2020,2,0,9,6,0,9,1,3
3/03/2020,2,0,11,13,0,9,1,3
4/03/2020,2,1,11,22,0,10,1,5
5/03/2020,3,1,13,22,0,10,1,5
6/03/2020,3,0,13,26,0,10,1,7
7/03/2020,3,0,13,28,0,11,1,7
8/03/2020,3,0,15,38,0,11,2,7
9/03/2020,4,0,15,48,0,15,2,7
10/03/2020,6,1,18,55,0,18,2,7
11/03/2020,9,1,20,65,0,21,3,9
12/03/2020,9,1,20,65,0,21,3,9
13/03/2020,14,1,35,92,1,36,5,16
14/03/2020,17,1,46,112,1,49,5,19
15/03/2020,17,1,61,134,1,57,6,20
16/03/2020,28,1,68,171,2,71,7,29
17/03/2020,31,1,78,210,2,94,7,29
18/03/2020,35,1,94,267,3,121,10,37
19/03/2020,52,1,144,307,4,121,10,42
20/03/2020,64,3,184,353,6,121,10,50
21/03/2020,90,3,221,436,9,229,16,67
22/03/2020,120,5,259,669,19,355,22,100
23/03/2020,140,5,319,669,32,355,28,134
24/03/2020,175,6,397,818,39,411,28,170
25/03/2020,175,6,443,1029,39,466,36,170
26/03/2020,231,12,493,1219,53,520,47,235
27/03/2020,231,12,555,1405,62,574,47,257
28/03/2020,278,15,625,1617,71,685,62,287
29/03/2020,311,15,656,1791,77,769,66,299
30/03/2020,355,15,689,2032,78,821,66,305
31/03/2020,364,17,743,2032,80,917,69,337
1/04/2020,392,19,781,2182,84,968,69,367
2/04/2020,400,21,835,2298,87,1036,72,367
3/04/2020,400,22,873,2389,91,1085,74,396
4/04/2020,436,26,900,2493,93,1115,80,407
5/04/2020,453,27,907,2580,96,1135,82,407
6/04/2020,460,27,921,2637,96,1158,85,411
7/04/2020,470,27,934,2686,97,1191,88,415
8/04/2020,481,27,943,2734,99,1212,97,420
9/04/2020,495,27,953,2773,100,1228,106,421
10/04/2020,506,27,965,2822,103,1241,111,428
11/04/2020,514,27,974,2857,103,1265,123,429
12/04/2020,517,27,983,2854,102,1268,133,429
13/04/2020,523,27,987,2863,103,1281,144,431
14/04/2020,527,27,998,2870,103,1291,151,433
15/04/2020,532,27,999,2886,103,1299,168,433
16/04/2020,535,27,1001,2897,103,1301,170,434
17/04/2020,541,27,1007,2926,103,1302,182,435
18/04/2020,544,27,1014,2936,103,1319,187,435
19/04/2020,545,27,1019,2957,103,1328,192,435
20/04/2020,545,27,1019,2963,104,1329,197,435
22/04/2020,546,27,1024,2971,104,1336,203,438
23/04/2020,546,27,1026,2976,104,1337,207,438
24/04/2020,548,27,1026,2982,104,1343,207,438
25/04/2020,549,27,1026,2994,106,1346,209,438
26/04/2020,549,27,1030,3002,106,1349,210,438
27/04/2020,549,27,1033,3004,106,1349,214,438
28/04/2020,550,27,1033,3009,106,1351,217,438
