Date,Western Australia,Northern Territory,Queensland,New South Wales,Australian Capital Territory,Victoria,Tasmania,South Australia
1/03/2020,1,0,0,0,0,0,0,0
2/03/2020,1,0,0,0,0,0,0,0
3/03/2020,1,0,0,0,0,0,0,0
4/03/2020,1,0,0,1,0,0,0,0
5/03/2020,1,0,0,1,0,0,0,0
6/03/2020,1,0,0,1,0,0,0,0
7/03/2020,1,0,0,1,0,0,0,0
8/03/2020,1,0,0,2,0,0,0,0
9/03/2020,1,0,0,2,0,0,0,0
10/03/2020,1,0,0,2,0,0,0,0
11/03/2020,1,0,0,2,0,0,0,0
12/03/2020,1,0,0,2,0,0,0,0
13/03/2020,1,0,0,2,0,0,0,0
14/03/2020,1,0,0,2,0,0,0,0
15/03/2020,1,0,0,2,0,0,0,0
16/03/2020,1,0,0,2,0,0,0,0
17/03/2020,1,0,0,4,0,0,0,0
18/03/2020,1,0,0,5,0,0,0,0
19/03/2020,1,0,0,5,0,0,0,0
20/03/2020,1,0,0,6,0,0,0,0
21/03/2020,1,0,0,6,0,0,0,0
22/03/2020,1,0,0,6,0,0,0,0
23/03/2020,1,0,0,6,0,0,0,0
24/03/2020,1,0,0,7,0,0,0,0
25/03/2020,1,0,0,7,0,0,0,0
26/03/2020,2,0,1,7,0,3,0,0
27/03/2020,2,0,1,7,0,3,0,0
28/03/2020,2,0,1,8,0,3,0,0
29/03/2020,2,0,2,8,0,4,0,0
30/03/2020,2,0,2,8,1,4,0,0
31/03/2020,2,0,2,8,1,4,1,0
1/04/2020,2,0,2,9,1,4,2,0
2/04/2020,2,0,4,10,1,5,2,0
3/04/2020,2,0,4,12,1,7,2,0
4/04/2020,2,0,4,12,2,8,2,0
5/04/2020,3,0,4,16,2,8,2,0
6/04/2020,3,0,5,17,2,10,2,0
7/04/2020,4,0,5,20,2,11,2,1
8/04/2020,6,0,5,20,2,12,3,2
9/04/2020,6,0,5,20,2,12,3,3
10/04/2020,6,0,5,21,2,13,3,3
11/04/2020,6,0,5,22,2,14,4,3
12/04/2020,6,0,5,23,2,14,5,4
13/04/2020,6,0,5,25,2,14,5,4
14/04/2020,6,0,5,25,2,14,5,4
15/04/2020,6,0,5,25,3,14,6,4
16/04/2020,6,0,5,25,3,14,6,4
17/04/2020,7,0,5,25,3,14,7,4
18/04/2020,7,0,6,26,3,14,8,4
19/04/2020,7,0,6,27,3,15,8,4
20/04/2020,7,0,6,28,3,15,8,4
21/04/2020,7,0,6,30,3,15,8,4
22/04/2020,7,0,6,31,3,15,8,4
23/04/2020,7,0,6,31,3,16,8,4
24/04/2020,8,0,6,32,3,16,9,4
25/04/2020,8,0,6,33,3,16,10,4
26/04/2020,8,0,6,34,3,17,11,4
27/04/2020,8,0,6,34,3,17,11,4
28/04/2020,8,0,6,35,3,17,11,4
29/04/2020,8,0,6,39,3,18,11,4
