Date,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
5/04/2020,6,118,23,47,19,11,123,61
6/04/2020,7,250,24,43,20,11,35,58
7/04/2020,6,103,24,42,16,13,47,54
8/04/2020,4,92,24,35,16,13,45,34
9/04/2020,3,88,24,33,15,15,50,34
10/04/2020,4,83,24,36,15,8,43,23
11/04/2020,4,78,24,28,15,8,44,39
12/04/2020,3,78,22,30,14,10,44,38
13/04/2020,3,77,22,23,13,11,40,38
14/04/2020,3,80,22,24,11,12,42,38
15/04/2020,2,73,21,23,10,13,39,33
16/04/2020,2,64,20,21,10,15,36,33
17/04/2020,2,63,19,19,7,16,32,34
18/04/2020,1,57,17,22,7,17,30,33
19/04/2020,0,57,16,22,7,18,29,28
20/04/2020,1,53,16,20,6,19,28,27
22/04/2020,1,50,14,20,4,18,30,25
23/04/2020,1,47,13,20,4,16,27,24
24/04/2020,0,43,10,18,4,16,27,20
25/04/2020,1,39,5,18,4,14,24,24
26/04/2020,1,39,5,18,4,14,24,24
27/04/2020,1,35,5,15,4,14,23,16
28/04/2020,0,33,5,14,4,14,23,16
29/04/2020,0,28,3,12,4,14,18,14
