Date,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
6/04/2020,3,40,0,12,10,2,11,18
7/04/2020,3,37,0,13,10,2,13,15
8/04/2020,3,36,0,11,8,2,12,15
9/04/2020,2,31,0,12,6,2,13,15
10/04/2020,2,29,0,12,6,2,13,10
11/04/2020,2,30,0,12,7,2,15,12
12/04/2020,2,30,0,12,6,2,14,15
13/04/2020,2,30,0,11,6,2,14,14
14/04/2020,2,32,0,11,4,2,15,14
15/04/2020,1,29,0,11,4,2,18,11
16/04/2020,1,26,0,11,1,2,17,8
17/04/2020,1,26,0,11,1,2,13,6
18/04/2020,0,25,0,9,1,2,12,6
19/04/2020,0,21,0,8,1,2,10,6
20/04/2020,0,22,0,7,1,2,11,6
22/04/2020,0,20,0,7,1,1,13,5
23/04/2020,0,21,0,7,2,0,10,5
24/04/2020,0,19,0,6,2,0,11,4
25/04/2020,1,19,0,6,2,0,11,4
26/04/2020,1,19,0,6,2,0,11,4
27/04/2020,1,19,0,6,2,0,11,4
28/04/2020,0,19,0,6,2,0,11,4
